,Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
4150,TLND,2020-06-04,Talend S.A.,Technology,Software - Infrastructure,France,1.10B,-,36.05,-3.43%,308292,-,-,4.25,35.00,6.16,-,-48.70%,27.80%,-20.10%,30.00%,31.70%,31.18M,28.77M,4.00%,-0.59%,95.10%,2.75%,4.19%,3.17,380.52K,20.57%,33.42%,7.16%,-4.58%,-18.68%,-7.82%,5.80%,5.25%,2.30,0.81,-,-18.10%,-222.40%,-35.20%,1.50,1.50,4.02,4.03,76.60%,-22.40%,-24.00%,May 06/a,0.85,1.8,17.01%,35.81%,5.98%,-22.07%,96.99%,72.98,-1.42%,-2.04%
4151,TLRD,2020-06-04,"Tailored Brands, Inc.",Consumer Cyclical,Apparel Retail,USA,74.22M,3.11,1.51,11.85%,3728521,1.78,0.38,0.03,-,5.15,-,-72.10%,415.40%,130.50%,8.30%,-2.40%,48.47M,47.61M,0.50%,0.00%,69.80%,-20.97%,45.74%,7.4,2.94M,16.15%,7.86%,-55.33%,-69.80%,-73.23%,-63.53%,7.90%,13.13%,3.00,1.27,47.68%,-3.20%,202.80%,9.60%,1.30,0.20,-,-,40.60%,3.40%,-2.90%,Mar 18/a,1.74,0.15,31.61%,7.02%,-57.99%,-79.14%,70.28%,62.1,7.86%,3.70%
4152,TLRY,2020-06-04,"Tilray, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.33B,-,10.09,0.10%,6998390,-,-,6.78,5.64,-,-,-291.90%,40.50%,-,-4.20%,-,106.46M,57.88M,4.80%,-8.15%,13.10%,11.27%,29.51%,1.23,13.94M,-2.89%,36.54%,-9.91%,-48.39%,-71.65%,-41.10%,6.22%,10.39%,3.10,0.5,-,-,-,-40.20%,2.00,1.40,2.63,2.65,-9.20%,-,-,May 11/a,-,0.92,14.40%,31.74%,-40.72%,-80.23%,315.23%,66.29,-0.39%,0.50%
4153,TLSA,2020-06-04,Tiziana Life Sciences PLC,Healthcare,Biotechnology,United Kingdom,209.34M,-,6.5,-0.76%,88456,-,-,-,-,-,-,-,-,-,-,-,32.21M,8.81M,-,-,13.22%,-,0.76%,0.1,651.44K,3.67%,86.78%,215.53%,140.62%,56.63%,140.74%,7.73%,12.25%,2.00,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,0.55,22.32%,75.47%,116.15%,-15.58%,322.08%,70.65,-0.61%,-0.15%
4154,TLYS,2020-06-04,"Tilly's, Inc.",Consumer Cyclical,Apparel Retail,USA,197.48M,8.09,6.15,-2.38%,696381,9.25,0.67,0.32,1.14,1.41,-,-9.40%,311.10%,8.70%,12.00%,3.60%,29.63M,21.98M,1.00%,47.41%,92.40%,-2.10%,8.60%,4.8,393.64K,11.21%,33.99%,1.99%,-28.69%,-13.81%,-43.36%,12.07%,9.32%,1.70,1.77,-,4.30%,13.30%,12.30%,1.40,1.00,0.00,0.00,30.10%,4.60%,3.70%,Jun 03/a,1.72,0.54,23.59%,29.61%,-17.73%,-45.58%,77.75%,63.2,-3.91%,1.59%
4155,TM,2020-06-04,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,Japan,214.85B,9.49,128.16,-0.44%,195969,8.67,2.71,0.77,0.95,4.06,10.65,13.10%,141.86%,1.20%,3.50%,1.90%,1.39B,1.46B,8.50%,0.00%,0.90%,0.25%,0.03%,1.68,291.81K,-0.16%,5.08%,-0.80%,-8.93%,6.60%,-8.81%,1.28%,1.32%,1.00,0.67,2.80%,3.90%,10.30%,4.30%,1.00,0.90,0.53,1.02,18.10%,8.20%,6.90%,-,0.67,2.43,4.98%,4.93%,-3.61%,-11.86%,18.66%,61.13,0.51%,-0.95%
4156,TMDI,2020-06-04,Titan Medical Inc.,Healthcare,Medical Devices,Canada,94.09M,-,1.57,467.07%,88854388,-,-,-,-,-,-,-,-,-,-,-,59.93M,56.31M,0.17%,-,3.55%,-,1.13%,0.26,2.42M,481.48%,518.11%,353.10%,144.66%,-32.03%,217.17%,42.66%,21.34%,-,36.77,-,-,-,-,-,-,-,-,-,-,-,Apr 01,-,0.13,461.67%,499.54%,133.29%,-42.07%,1185.83%,93.72,130.88%,145.61%
4157,TMDX,2020-06-04,"TransMedics Group, Inc.",Healthcare,Medical Devices,USA,391.64M,-,14.2,0.85%,100870,-,-,14.78,6.45,5.40,-,-101.20%,42.40%,-,-,-,21.22M,18.15M,2.10%,-47.64%,71.20%,0.54%,7.43%,8.43,159.96K,2.68%,-16.42%,-7.55%,-19.82%,-47.05%,-25.30%,6.37%,8.45%,1.80,0.63,-,-32.60%,-60.20%,-33.40%,6.10,5.30,0.73,0.73,61.00%,-,-,May 06/a,-,1.27,-6.93%,-5.95%,-21.22%,-52.94%,40.59%,46.94,1.65%,-0.78%
4158,TME,2020-06-04,Tencent Music Entertainment Group,Communication Services,Internet Content & Information,China,19.93B,38.73,12.55,-2.71%,9860995,24.37,14.24,5.47,3.38,11.56,-,112.30%,32.73%,-,2.72%,-,1.65B,635.93M,5.18%,0.00%,42.70%,0.45%,4.90%,3.39,9.18M,2.62%,18.84%,-0.08%,1.37%,-3.09%,6.90%,3.96%,4.40%,2.30,1.07,-,7.60%,9.10%,7.60%,3.20,3.20,0.00,0.00,33.10%,14.40%,14.90%,May 11/a,-,0.52,4.74%,12.14%,0.91%,-25.03%,36.12%,59.85,-2.94%,0.23%
4159,TMHC,2020-06-04,Taylor Morrison Home Corporation,Consumer Cyclical,Residential Construction,USA,2.59B,12.13,19.91,-3.86%,2877920,7.30,2.25,0.50,0.74,5.09,5.58,31.20%,89.57%,2.40%,5.40%,11.90%,121.91M,125.05M,0.50%,-13.58%,-,16.79%,8.07%,3.42,2.95M,2.73%,38.55%,-13.81%,-13.13%,-3.26%,-8.92%,5.42%,6.85%,2.40,0.98,-,2.90%,6.40%,5.70%,-,-,1.13,1.13,16.60%,4.30%,3.30%,May 06/b,1.65,1.24,16.67%,44.36%,-5.68%,-30.07%,211.58%,68.48,-3.07%,-0.82%
4160,TMO,2020-06-04,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,USA,138.22B,37.91,348.15,0.28%,1758069,24.35,3.80,5.39,4.84,44.72,40.69,22.10%,16.25%,14.30%,9.99%,8.60%,397.00M,394.06M,0.20%,-24.08%,91.80%,-1.46%,0.89%,1.63,2.15M,1.58%,3.52%,11.27%,11.27%,26.70%,7.17%,1.74%,2.33%,1.7,0.82,0.25%,6.30%,12.60%,8.50%,2.30,1.70,0.67,0.70,44.30%,17.90%,14.30%,Apr 22/b,1.04,8.3,2.26%,7.74%,12.25%,-1.26%,39.14%,59.58,1.23%,-0.94%
4161,TMP,2020-06-04,Tompkins Financial Corporation,Financial,Banks - Regional,USA,1.02B,14.59,66.16,1.21%,31329,17.20,1.82,3.92,1.43,7.30,13.91,0.30%,3.14%,9.00%,8.00%,7.20%,14.72M,13.63M,1.80%,0.00%,53.70%,-2.52%,3.46%,8.22,57.33K,-0.42%,1.85%,-15.36%,-22.82%,-16.75%,-27.69%,4.43%,5.19%,3.0,0.55,3.14%,1.00%,10.20%,27.60%,-,-,0.03,0.03,-,74.90%,26.00%,May 15/b,0.58,3.65,6.94%,-0.16%,-17.19%,-29.36%,24.07%,53.09,3.38%,-2.10%
4162,TMQ,2020-06-04,Trilogy Metals Inc.,Basic Materials,Other Industrial Metals & Mining,Canada,284.15M,1.91,2.02,1.51%,143345,-,-,-,1.49,-,-,68.40%,-,-,-,-,140.67M,80.98M,15.47%,0.15%,68.99%,-,0.29%,0.98,236.47K,8.60%,26.25%,29.49%,12.85%,-23.48%,-22.31%,7.26%,6.37%,2.0,0.61,-,-,-,-,-,-,-,-,-,-,-,-,-,0.13,9.34%,22.02%,10.17%,-35.46%,96.12%,66.48,1.00%,0.50%
4163,TMST,2020-06-04,TimkenSteel Corporation,Basic Materials,Steel,USA,211.75M,-,4.43,11.87%,456736,-,-,0.19,0.37,3.23,1.61,-995.10%,61.40%,-34.80%,-,-6.30%,44.90M,36.13M,2.80%,0.00%,62.90%,-11.38%,10.03%,8.2,441.47K,19.09%,81.56%,-16.26%,-27.02%,-40.38%,-43.64%,9.04%,9.93%,3.2,1.03,-,-12.10%,-23.20%,-9.70%,2.90,1.20,0.26,0.26,0.10%,-9.70%,-12.20%,May 07/a,2.08,0.32,38.83%,45.53%,-16.90%,-47.32%,105.09%,69.7,13.01%,-1.01%
4164,TMUS,2020-06-04,"T-Mobile US, Inc.",Communication Services,Telecom Services,USA,122.77B,24.64,100.17,-1.03%,2532201,43.33,2.23,2.73,2.97,110.41,146.86,19.40%,28.23%,67.70%,11.05%,8.80%,858.15M,692.24M,0.50%,0.00%,25.00%,3.40%,2.36%,2.69,6.09M,0.96%,12.59%,11.47%,28.41%,31.30%,27.74%,2.14%,3.18%,1.9,0.42,-,4.10%,12.50%,7.90%,0.60,0.60,0.91,0.94,59.70%,12.80%,7.80%,May 06/a,0.30,2.95,3.33%,10.29%,20.02%,-2.49%,57.75%,60.42,-1.35%,0.33%
4165,TNAV,2020-06-04,"Telenav, Inc.",Technology,Software - Application,USA,256.15M,-,5.31,-2.21%,152982,-,-,0.97,2.49,2.07,6.28,-44.90%,-116.00%,1.30%,25.00%,8.00%,47.90M,29.35M,5.00%,0.00%,53.90%,-1.86%,7.15%,7.17,292.53K,5.15%,16.83%,-12.95%,0.00%,-28.82%,9.26%,6.15%,6.86%,3.0,0.52,-,-1.50%,-4.60%,-39.10%,1.90,1.90,0.00,0.00,47.50%,-0.80%,-1.70%,May 07/a,0.27,0.33,9.76%,12.03%,-0.63%,-54.50%,43.09%,59.36,-1.12%,-1.10%
4166,TNC,2020-06-04,Tennant Company,Industrials,Specialty Industrial Machinery,USA,1.27B,27.79,68.47,-0.42%,152809,22.86,1.85,1.13,3.5,-,27.78,36.20%,47.03%,-1.70%,15.00%,6.70%,18.29M,18.09M,1.90%,-10.34%,89.70%,0.66%,2.53%,4.56,100.40K,6.09%,18.17%,-6.74%,-11.47%,13.70%,-12.13%,3.77%,4.30%,1.7,1.52,1.29%,4.20%,13.10%,9.10%,2.60,1.90,1.29,1.30,40.60%,6.70%,4.00%,May 06/b,1.14,2.97,17.05%,16.79%,-2.31%,-21.35%,46.81%,68.82,0.72%,-1.13%
4167,TNDM,2020-06-04,"Tandem Diabetes Care, Inc.",Healthcare,Medical Devices,USA,4.65B,-,77.34,-5.50%,1095306,1983.08,-,11.80,22.29,29.04,9304.00,83.40%,129.70%,58.50%,-,48.80%,59.74M,57.28M,4.39%,-14.40%,94.30%,3.96%,7.15%,3.35,1.22M,-7.07%,-8.79%,-0.31%,13.09%,8.93%,29.74%,4.66%,5.44%,2.4,0.9,-,-5.50%,-9.30%,-8.70%,2.80,2.20,0.00,0.00,53.60%,-4.90%,-4.20%,Apr 30/a,0.58,4.63,-9.37%,1.99%,13.35%,-16.27%,77.02%,43.17,-5.53%,0.04%
4168,TNET,2020-06-04,"TriNet Group, Inc.",Industrials,Staffing & Employment Services,USA,3.85B,16.67,57.09,-1.60%,237962,16.85,0.83,0.97,7.28,6.57,13.18,12.40%,-0.12%,68.00%,20.00%,11.90%,68.00M,60.90M,1.20%,240.89%,95.40%,0.51%,4.97%,6.0,504.22K,6.06%,13.32%,6.63%,5.70%,-11.24%,0.85%,2.85%,4.39%,2.0,0.47,-,9.50%,49.90%,24.20%,1.20,1.20,0.68,1.16,18.00%,7.70%,6.00%,Apr 28/a,1.93,2.65,13.28%,25.08%,5.75%,-25.78%,105.43%,65.5,-0.56%,-1.05%
4169,TNK,2020-06-04,Teekay Tankers Ltd.,Energy,Oil & Gas Midstream,Canada,538.03M,4.01,15.97,-0.50%,868875,5.60,1.34,0.51,0.49,2.65,2.71,178.30%,-67.03%,-26.20%,3.00%,30.40%,33.67M,23.93M,31.90%,0.00%,46.50%,-0.09%,7.40%,1.08,1.64M,-8.22%,-13.77%,9.08%,-17.77%,88.33%,-33.38%,4.82%,7.93%,1.7,0.53,-,6.20%,13.70%,5.20%,2.00,1.80,0.76,0.86,36.20%,20.10%,12.90%,May 21/b,0.24,1.5,-5.92%,-16.73%,-6.31%,-40.68%,107.92%,43.52,-0.19%,-0.31%
4170,TNP,2020-06-04,Tsakos Energy Navigation Limited,Energy,Oil & Gas Midstream,Greece,261.12M,-,2.64,-4.00%,1003320,2.90,-,0.44,0.17,1.41,-,79.30%,-50.60%,-24.50%,10.00%,3.60%,90.53M,65.88M,33.30%,0.00%,31.00%,0.24%,0.96%,0.5,1.28M,-4.35%,-11.41%,21.10%,-23.03%,-12.29%,-39.45%,6.65%,8.15%,1.3,0.79,3.79%,-0.90%,-1.90%,2.90%,1.10,1.10,0.91,1.07,47.00%,14.40%,-4.70%,Mar 24/b,0.73,0.27,-1.07%,-9.34%,-17.60%,-44.65%,55.07%,45.49,-2.22%,-1.82%
4171,TOL,2020-06-04,"Toll Brothers, Inc.",Consumer Cyclical,Residential Construction,USA,4.36B,10.12,34.44,-3.80%,2420832,9.74,-,0.62,1.02,8.38,15.17,-12.90%,19.82%,17.00%,-1.88%,13.10%,138.15M,111.83M,6.50%,-0.13%,85.60%,-9.51%,7.22%,2.35,3.43M,6.82%,37.93%,-9.30%,-13.53%,-5.62%,-12.83%,6.08%,6.05%,3.0,0.7,1.28%,5.60%,12.00%,5.40%,-,-,0.87,0.87,18.80%,9.70%,8.40%,May 27/a,1.64,1.97,19.97%,40.56%,-3.50%,-30.16%,159.34%,71.21,-2.44%,-1.40%
4172,TOPS,2020-06-04,Top Ships Inc.,Industrials,Marine Shipping,Greece,51.54M,-,0.15,16.03%,89250864,-,-,0.78,0.01,11.71,-,13.60%,14.30%,-52.96%,-,78.90%,4.54M,215.54M,-,-,0.50%,118.10%,0.67%,0.03,52.15M,14.29%,-25.45%,-36.67%,-80.55%,-98.54%,-81.00%,10.50%,9.18%,2.0,1.71,-,-9.20%,-32.20%,0.20%,0.70,0.70,2.99,3.52,95.40%,1.20%,-46.90%,-,0.12,0.02,-5.67%,-27.24%,-90.56%,-98.88%,94.87%,43.98,16.92%,-0.76%
4173,TORC,2020-06-04,"resTORbio, Inc.",Healthcare,Biotechnology,USA,79.21M,-,2.13,-4.26%,1370246,-,-,-,1.03,1.04,-,-69.50%,29.50%,-,29.10%,-,36.45M,30.63M,11.90%,-61.82%,36.90%,-25.83%,2.93%,0.69,1.30M,-3.39%,24.85%,54.71%,79.41%,-71.27%,43.29%,11.90%,11.13%,2.7,1.05,-,-73.10%,-79.90%,-,30.20,30.20,0.00,0.00,-,-,-,May 07/b,-,0.22,6.96%,41.29%,-41.80%,-82.15%,148.26%,61.7,-5.95%,1.79%
4174,TOT,2020-06-04,TOTAL S.A.,Energy,Oil & Gas Integrated,France,106.54B,13.61,40.75,-0.22%,4329886,14.87,27.22,0.63,0.94,3.72,25.42,-1.70%,149.77%,17.50%,0.50%,-3.60%,2.57B,2.36B,8.30%,0.00%,6.70%,2.67%,0.04%,0.22,4.32M,8.84%,16.40%,-6.41%,-21.38%,-22.11%,-26.31%,2.01%,2.56%,1.5,1.0,7.17%,2.90%,6.80%,5.80%,1.20,1.00,0.44,0.60,33.80%,6.60%,4.60%,-,0.69,1.36,12.87%,14.32%,-12.03%,-28.40%,84.14%,67.69,0.15%,-0.37%
4175,TOUR,2020-06-04,Tuniu Corporation,Consumer Cyclical,Travel Services,China,134.61M,-,1.04,0.00%,447062,-,-,0.42,0.34,0.60,-,-280.40%,77.40%,15.50%,-0.01%,-8.40%,123.22M,30.30M,2.50%,0.00%,23.50%,-1.93%,0.95%,1.16,248.23K,-5.45%,37.75%,-33.33%,-54.39%,-66.34%,-58.73%,14.28%,10.58%,3.0,1.8,-,-10.10%,-23.20%,-29.80%,1.00,1.00,0.00,0.08,47.40%,-38.20%,-30.70%,Apr 09/b,1.49,0.1,23.73%,19.50%,-51.05%,-69.86%,43.41%,61.64,0.97%,-0.96%
4176,TOWN,2020-06-04,TowneBank,Financial,Banks - Regional,USA,1.47B,10.12,19.5,0.52%,167853,21.59,-,3.13,0.86,1.73,12.73,20.40%,-36.27%,10.60%,-,19.90%,72.09M,65.66M,7.20%,-,50.10%,1.45%,0.92%,2.68,226.04K,-0.15%,7.68%,-15.55%,-29.50%,-25.43%,-29.91%,3.81%,4.80%,3.0,0.74,3.69%,1.20%,8.90%,16.90%,-,-,0.15,0.15,-,74.30%,30.00%,-,1.19,1.03,8.86%,6.84%,-21.07%,-32.80%,29.74%,56.71,1.25%,-0.72%
4177,TPB,2020-06-04,"Turning Point Brands, Inc.",Consumer Defensive,Tobacco,USA,500.12M,48.07,24.42,2.01%,86524,12.24,-,1.38,4.56,5.03,16.56,-31.50%,5.56%,19.40%,-,12.60%,19.69M,8.78M,54.30%,1.29%,45.00%,-1.94%,10.53%,6.5,142.25K,-2.83%,5.58%,-0.16%,-9.72%,-53.09%,-14.62%,4.47%,4.85%,2.0,0.61,0.82%,2.50%,10.30%,6.00%,3.30,2.10,2.55,2.66,38.10%,6.20%,2.90%,Apr 28/b,0.74,1.28,5.72%,10.89%,-1.05%,-57.20%,73.31%,60.13,2.65%,-0.63%
4178,TPC,2020-06-04,Tutor Perini Corporation,Industrials,Engineering & Construction,USA,632.15M,-,12.57,9.97%,663151,5.94,-,0.13,0.43,3.19,4.34,-564.20%,5.70%,-40.70%,10.00%,-0.20%,50.34M,40.00M,12.50%,4.00%,92.70%,-12.09%,10.01%,3.25,1.23M,20.40%,101.77%,-9.57%,-15.18%,-17.57%,-2.26%,8.24%,9.68%,2.3,0.54,-,-8.20%,-25.00%,-13.20%,1.60,1.10,0.49,0.62,5.60%,-7.20%,-7.80%,May 06/a,1.80,0.92,40.35%,68.33%,7.69%,-35.47%,381.61%,73.62,10.26%,-0.26%
4179,TPCO,2020-06-04,Tribune Publishing Company,Communication Services,Publishing,USA,365.11M,-,9.9,4.10%,153882,26.76,-,0.37,1.25,5.99,18.72,33.70%,1750.00%,-19.70%,-,-10.50%,36.04M,21.96M,1.80%,0.00%,61.90%,-3.67%,7.51%,7.83,210.54K,3.02%,19.42%,-3.32%,-19.64%,22.09%,-24.77%,7.63%,6.49%,2.0,0.73,10.10%,-4.20%,-9.60%,1.90%,1.10,1.10,0.02,0.02,94.20%,0.70%,-3.10%,Jun 05/b,1.57,0.62,6.21%,18.36%,0.42%,-28.57%,101.63%,61.43,4.10%,0.00%
4180,TPH,2020-06-04,"TRI Pointe Group, Inc.",Consumer Cyclical,Residential Construction,USA,1.95B,8.68,14.86,-3.44%,1160833,11.38,-,0.61,0.94,3.13,6.29,-18.90%,9.47%,20.40%,-0.60%,12.60%,134.36M,127.58M,0.70%,0.00%,-,-2.03%,9.74%,5.1,2.44M,2.84%,32.44%,-6.60%,-3.07%,17.47%,-4.62%,4.75%,5.84%,2.90,0.48,-,6.00%,11.20%,5.50%,-,-,0.84,0.84,20.90%,9.50%,7.50%,Apr 23/a,1.64,0.83,14.95%,33.79%,5.29%,-20.24%,152.29%,65.64,-2.17%,-1.30%
4181,TPHS,2020-06-04,Trinity Place Holdings Inc.,Real Estate,Real Estate - Diversified,USA,58.83M,-,1.86,2.76%,52879,-,-,18.98,1.06,5.25,-,72.60%,-,-30.40%,-,148.30%,32.27M,26.05M,5.40%,0.44%,56.50%,0.60%,0.50%,3.92,33.38K,10.06%,29.17%,-37.79%,-38.00%,-53.03%,-38.21%,7.49%,10.90%,-,1.58,-,-1.00%,-5.70%,-4.70%,-,-,3.17,3.17,-,-,-,-,0.50,0.16,12.96%,14.06%,-37.23%,-58.11%,67.57%,58.43,0.54%,2.21%
4182,TPIC,2020-06-04,"TPI Composites, Inc.",Industrials,Specialty Industrial Machinery,USA,782.78M,-,22.17,3.24%,381942,14.54,-,0.52,4.08,7.15,-,-405.50%,291.03%,6.50%,50.00%,35.00%,35.21M,29.67M,1.80%,-12.38%,-,-1.27%,7.93%,4.03,583.96K,6.76%,32.47%,-2.95%,27.81%,1.30%,19.80%,4.22%,6.03%,1.90,0.65,-,-0.50%,-2.00%,-2.10%,1.30,1.30,0.98,1.08,5.00%,0.80%,-0.30%,May 07/a,1.60,1.14,12.84%,30.92%,19.82%,-20.22%,141.43%,72.91,4.45%,-1.16%
4183,TPL,2020-06-04,Texas Pacific Land Trust,Energy,Oil & Gas E&P,USA,4.97B,20.53,625.01,0.81%,24367,28.83,-,12.55,10.88,22.21,41.37,52.60%,7.06%,58.30%,-,54.80%,7.76M,7.67M,4.10%,2.13%,45.40%,4.04%,1.60%,2.18,56.14K,4.00%,21.09%,-3.82%,-2.30%,-14.44%,-19.26%,2.69%,4.25%,1.00,0.43,1.60%,44.40%,52.90%,61.70%,-,-,0.00,0.00,-,74.50%,59.70%,-,2.01,29.24,12.21%,23.22%,0.08%,-24.77%,111.83%,69.36,1.16%,-0.34%
4184,TPR,2020-06-04,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,USA,4.67B,-,16.44,4.78%,6849325,10.39,-,0.81,1.78,5.20,-,7.40%,156.56%,-5.50%,-7.71%,4.60%,276.10M,275.25M,0.31%,0.00%,93.30%,1.88%,4.89%,2.11,6.37M,17.51%,11.31%,-26.01%,-33.79%,-45.51%,-39.04%,6.97%,6.78%,2.60,1.07,-,-2.60%,-6.70%,12.90%,1.90,1.10,0.62,0.63,66.80%,-1.80%,-3.60%,Apr 30/b,1.37,1.13,18.73%,16.94%,-25.97%,-49.32%,61.49%,62.22,4.91%,-0.13%
4185,TPRE,2020-06-04,Third Point Reinsurance Ltd.,Financial,Insurance - Reinsurance,Bermuda,793.55M,-,8.09,1.51%,531289,-,-,1.25,0.61,1.78,-,165.90%,-,35.60%,15.00%,13.10%,92.19M,79.76M,2.80%,7.44%,70.50%,-0.13%,1.40%,1.87,598.94K,6.03%,12.83%,-6.80%,-15.02%,-22.81%,-23.10%,3.51%,4.35%,3.00,0.89,-,-,-,14.60%,-,-,0.09,0.09,-,-,-,May 28/a,1.02,0.38,8.08%,8.38%,-12.17%,-29.77%,43.44%,58.91,3.06%,-1.51%
4186,TPTX,2020-06-04,"Turning Point Therapeutics, Inc.",Healthcare,Biotechnology,USA,2.60B,-,62.19,-11.40%,395535,-,-,-,5.85,6.82,-,-257.70%,-23.90%,-,-,-,35.92M,40.15M,2.50%,-32.92%,71.10%,3.87%,8.14%,7.86,415.69K,-9.31%,15.54%,26.83%,17.22%,72.26%,-0.17%,8.24%,7.47%,1.50,0.95,-,-31.60%,-32.80%,-,34.90,34.90,0.00,0.00,-,-,-,May 12/a,-,4.48,1.81%,16.27%,22.86%,-13.66%,98.65%,53.32,-10.59%,-0.91%
4187,TPVG,2020-06-04,TriplePoint Venture Growth BDC Corp.,Financial,Asset Management,USA,325.25M,16.53,10.94,0.55%,239521,7.45,1.65,4.29,0.83,3.84,-,-28.40%,-1.01%,-2.50%,10.00%,23.50%,29.88M,29.73M,1.16%,3.48%,30.50%,9.61%,1.04%,0.64,481.80K,12.90%,56.06%,-15.00%,-22.41%,-20.72%,-23.07%,6.79%,6.57%,2.00,0.5,13.16%,2.40%,4.40%,5.60%,-,-,1.01,0.00,61.00%,52.30%,20.50%,May 06/a,1.86,0.65,20.77%,43.39%,-14.32%,-36.28%,290.71%,73.72,1.30%,-0.74%
4188,TPX,2020-06-04,"Tempur Sealy International, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,3.62B,17.01,69.07,0.10%,637006,16.30,0.74,1.12,17.71,18.40,15.93,70.30%,89.83%,14.50%,22.90%,0.80%,53.40M,50.83M,1.30%,-80.08%,98.40%,-4.07%,4.21%,1.49,1.44M,4.01%,29.83%,-6.33%,-16.28%,1.62%,-20.66%,3.56%,5.12%,2.00,0.44,-,7.10%,73.00%,14.20%,1.40,1.00,9.05,9.28,43.80%,12.10%,6.80%,Apr 30/b,2.06,3.45,17.35%,35.89%,-5.49%,-31.20%,213.95%,72.7,-0.10%,0.20%
4189,TPZ,2020-06-04,"Tortoise Power and Energy Infrastructure Fund, Inc.",Financial,Asset Management,USA,70.97M,-,10.21,1.29%,29632,-,-,-,-,-,-,-,-,-,-,-,6.95M,-,0.15%,-,32.26%,-,-,0.14,72.27K,5.26%,10.02%,-29.97%,-33.83%,-44.70%,-39.80%,2.86%,4.24%,-,0.41,14.69%,-,-,-,-,-,-,-,-,-,-,-,-,0.39,10.80%,19.92%,-28.88%,-46.54%,170.82%,71.02,0.69%,0.60%
4190,TR,2020-06-04,"Tootsie Roll Industries, Inc.",Consumer Defensive,Confectioners,USA,2.36B,35.07,35.46,-0.64%,181939,-,3.90,4.46,3.15,10.90,38.52,15.30%,-,1.90%,9.00%,-0.60%,66.88M,35.65M,34.60%,0.00%,39.80%,-3.58%,15.77%,23.11,243.32K,-0.20%,-1.50%,3.74%,5.41%,-4.71%,6.98%,1.56%,2.94%,-,0.75,0.99%,7.00%,9.00%,6.30%,4.30,3.40,0.01,0.01,37.30%,15.90%,12.80%,-,0.00,0.97,1.20%,-0.47%,2.89%,-8.89%,15.16%,50.33,-0.11%,-0.53%
4191,TRC,2020-06-04,Tejon Ranch Co.,Industrials,Conglomerates,USA,391.24M,39.76,14.91,-0.53%,70802,-,2.65,7.95,0.91,6.61,-,147.00%,-,8.80%,15.00%,-0.60%,26.13M,24.40M,16.40%,0.32%,69.50%,-1.45%,1.89%,4.22,109.17K,3.90%,15.58%,-0.27%,-7.45%,-7.96%,-6.70%,2.77%,3.11%,-,0.65,-,1.80%,2.30%,-1.10%,4.90,4.60,0.13,0.14,14.80%,-4.30%,19.90%,Mar 19/a,0.72,0.52,8.15%,9.10%,-4.18%,-21.05%,23.02%,63.83,0.34%,-0.87%
4192,TREC,2020-06-04,Trecora Resources,Basic Materials,Specialty Chemicals,USA,164.73M,-,6.71,0.15%,110362,23.96,-,0.64,0.91,4.39,-,-637.70%,-68.54%,-23.20%,17.50%,-2.20%,24.77M,21.34M,3.60%,5.75%,58.80%,1.66%,1.08%,4.32,53.19K,5.67%,31.57%,31.05%,-7.83%,-29.44%,-6.15%,4.31%,6.67%,2.00,2.07,-,-,-,-2.90%,4.90,4.60,0.54,0.56,14.30%,-,-,May 05/a,0.79,0.39,16.33%,21.60%,-5.99%,-36.34%,58.63%,67.13,2.29%,-2.09%
4193,TREE,2020-06-04,"LendingTree, Inc.",Financial,Mortgage Finance,USA,3.79B,71.40,284.39,5.50%,164048,64.28,4.50,3.36,8.70,74.04,28.57,-65.30%,147.01%,129.70%,15.85%,45.90%,12.96M,7.88M,5.20%,-0.53%,81.40%,7.26%,27.92%,9.18,239.77K,7.20%,21.43%,4.29%,-19.56%,-26.76%,-6.28%,4.32%,4.57%,1.70,0.68,-,3.30%,8.20%,8.00%,0.60,0.60,0.63,0.94,94.20%,6.50%,2.90%,May 05/b,2.12,13.01,12.91%,28.67%,-1.87%,-34.61%,109.54%,73.26,5.53%,-0.03%
